resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/23 3:15:19.00,SUPERVISOR,travel permit number 28757,task 28761,organizational unit 65469,203.6455655,task 427,budget 1027,project 28758,project 503,request for payment 28766,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
SYSTEM,Request Payment,2018/8/28 7:36:13.00,UNDEFINED,travel permit number 28757,task 28761,organizational unit 65469,203.6455655,task 427,budget 1027,project 28758,project 503,request for payment 28766,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
SYSTEM,Payment Handled,2018/8/30 15:31:14.00,UNDEFINED,travel permit number 28757,task 28761,organizational unit 65469,203.6455655,task 427,budget 1027,project 28758,project 503,request for payment 28766,organizational unit 65454,4316.400573,travel permit 28756,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/4/19 9:49:50.00,EMPLOYEE,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/4/19 9:49:58.00,PRE_APPROVER,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017/4/21 7:41:11.00,SUPERVISOR,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017/4/21 7:41:11.00,DIRECTOR,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/5/19 10:33:27.00,EMPLOYEE,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/5/19 10:35:30.00,PRE_APPROVER,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2017/5/23 11:26:33.00,SUPERVISOR,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
SYSTEM,Request Payment,2017/5/29 9:53:42.00,UNDEFINED,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
SYSTEM,Payment Handled,2017/6/1 15:30:57.00,UNDEFINED,travel permit number 74786,UNKNOWN,organizational unit 65458,933.6006713,UNKNOWN,budget 974,UNKNOWN,project 503,request for payment 74787,organizational unit 65458,1694.375084,travel permit 74785,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/5 12:39:31.00,EMPLOYEE,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/5 12:40:12.00,ADMINISTRATION,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/6 6:25:32.00,SUPERVISOR,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/4/12 10:29:10.00,EMPLOYEE,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/4/12 10:29:17.00,ADMINISTRATION,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/4/16 6:19:01.00,SUPERVISOR,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
SYSTEM,Request Payment,2018/4/16 7:45:43.00,UNDEFINED,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
SYSTEM,Payment Handled,2018/4/19 15:31:32.00,UNDEFINED,travel permit number 53760,task 6174,organizational unit 65463,957.5287346,task 427,budget 899,project 2642,project 503,request for payment 53761,organizational unit 65455,3798.677607,travel permit 53759,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/11/23 20:32:28.00,EMPLOYEE,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/11/23 20:32:52.00,ADMINISTRATION,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/12/6 9:05:57.00,BUDGET OWNER,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/12/6 10:21:14.00,SUPERVISOR,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Request Payment,2018/12/6 13:59:19.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
SYSTEM,Payment Handled,2018/12/10 16:31:28.00,UNDEFINED,UNKNOWN,UNKNOWN,organizational unit 65462,74.11711514,UNKNOWN,UNKNOWN,UNKNOWN,project 503,request for payment 186306,UNKNOWN,0.0,UNKNOWN,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/20 11:48:46.00,EMPLOYEE,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/20 11:48:49.00,ADMINISTRATION,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/3/21 6:48:58.00,BUDGET OWNER,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/3/28 3:15:25.00,SUPERVISOR,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/3/28 11:08:08.00,EMPLOYEE,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/3/28 11:08:11.00,ADMINISTRATION,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/3/29 8:02:32.00,BUDGET OWNER,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/3/29 13:35:01.00,SUPERVISOR,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
SYSTEM,Request Payment,2018/4/3 7:13:28.00,UNDEFINED,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
SYSTEM,Payment Handled,2018/4/5 15:30:53.00,UNDEFINED,travel permit number 41991,task 41995,organizational unit 65461,154.6194496,task 427,budget 522,project 41992,project 503,request for payment 41996,organizational unit 65456,2307.75298,travel permit 41990,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/3/6 19:36:52.00,EMPLOYEE,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/3/6 19:37:01.00,ADMINISTRATION,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit REJECTED by BUDGET OWNER,2018/3/7 10:44:02.00,BUDGET OWNER,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit REJECTED by EMPLOYEE,2018/3/8 8:28:35.00,EMPLOYEE,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/4/3 10:43:39.00,EMPLOYEE,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/4/3 10:43:41.00,ADMINISTRATION,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/4/3 12:04:20.00,BUDGET OWNER,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/4/5 10:02:27.00,SUPERVISOR,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/5/1 8:56:26.00,EMPLOYEE,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/5/1 8:56:28.00,ADMINISTRATION,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/5/1 13:38:50.00,BUDGET OWNER,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/5/3 13:27:42.00,SUPERVISOR,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
SYSTEM,Request Payment,2018/5/3 13:27:43.00,UNDEFINED,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
SYSTEM,Payment Handled,2018/5/7 15:31:15.00,UNDEFINED,travel permit number 3649,UNKNOWN,organizational unit 65468,404.1888941,UNKNOWN,budget 1136,UNKNOWN,project 503,request for payment 3650,organizational unit 65466,1246.397471,travel permit 3648,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/6/27 16:41:22.00,EMPLOYEE,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/6/27 16:41:32.00,ADMINISTRATION,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit REJECTED by BUDGET OWNER,2018/6/28 13:26:11.00,BUDGET OWNER,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit REJECTED by EMPLOYEE,2018/7/1 8:28:28.00,EMPLOYEE,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/1 17:45:22.00,EMPLOYEE,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/1 17:45:26.00,ADMINISTRATION,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/7/2 12:10:42.00,BUDGET OWNER,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/7/3 6:33:10.00,SUPERVISOR,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/7/9 7:47:36.00,EMPLOYEE,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/7/9 7:47:42.00,ADMINISTRATION,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/7/9 14:40:18.00,BUDGET OWNER,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/7/10 6:44:59.00,SUPERVISOR,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
SYSTEM,Request Payment,2018/7/10 7:28:06.00,UNDEFINED,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
SYSTEM,Payment Handled,2018/7/12 15:31:21.00,UNDEFINED,travel permit number 53025,UNKNOWN,organizational unit 65458,184.5937529,UNKNOWN,budget 922,UNKNOWN,project 503,request for payment 53028,organizational unit 65458,922.9687646,travel permit 53024,activity 2169
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/7/17 11:18:27.00,EMPLOYEE,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/7/17 11:18:30.00,ADMINISTRATION,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/7/18 8:13:38.00,SUPERVISOR,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/7/19 7:28:54.00,DIRECTOR,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/8/20 9:41:25.00,EMPLOYEE,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/8/20 9:43:32.00,ADMINISTRATION,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/8/21 12:52:56.00,SUPERVISOR,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
SYSTEM,Request Payment,2018/9/14 5:46:55.00,UNDEFINED,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
SYSTEM,Payment Handled,2018/9/17 15:31:15.00,UNDEFINED,travel permit number 62147,task 62151,organizational unit 65465,222.4361508,task 427,budget 22315,project 62148,project 503,request for payment 62158,organizational unit 65464,1916.66885,travel permit 62146,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/5 10:58:48.00,EMPLOYEE,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/5 10:58:51.00,ADMINISTRATION,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/6 6:29:40.00,SUPERVISOR,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/9/6 8:05:25.00,EMPLOYEE,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/9/6 8:05:31.00,ADMINISTRATION,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/9/11 8:37:50.00,SUPERVISOR,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
SYSTEM,Request Payment,2018/9/11 9:05:01.00,UNDEFINED,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
SYSTEM,Payment Handled,2018/9/13 15:31:15.00,UNDEFINED,travel permit number 10228,task 10233,organizational unit 65454,405.7851413,task 427,budget 10229,project 10230,project 503,request for payment 10234,organizational unit 65460,1262.442662,travel permit 10227,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/19 8:02:42.00,EMPLOYEE,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/19 8:02:45.00,ADMINISTRATION,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Permit APPROVED by BUDGET OWNER,2018/1/22 14:58:58.00,BUDGET OWNER,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2018/1/23 8:47:38.00,SUPERVISOR,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2018/1/23 14:13:58.00,DIRECTOR,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/26 13:27:59.00,EMPLOYEE,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/26 13:28:42.00,ADMINISTRATION,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/1/31 12:21:37.00,BUDGET OWNER,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/1 10:13:51.00,SUPERVISOR,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
SYSTEM,Request Payment,2018/2/2 7:25:13.00,UNDEFINED,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
SYSTEM,Payment Handled,2018/2/5 16:31:03.00,UNDEFINED,travel permit number 9347,UNKNOWN,organizational unit 65462,897.3609721,UNKNOWN,budget 774,UNKNOWN,project 503,request for payment 9351,organizational unit 65459,2511.661134,travel permit 9346,activity 9348
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/9/21 12:40:02.00,EMPLOYEE,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/9/21 12:40:03.00,ADMINISTRATION,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/9/24 9:15:48.00,SUPERVISOR,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/10/12 6:11:03.00,EMPLOYEE,travel permit number 55853,task 6489,organizational unit 65454,65.3014619,task 427,budget 1469,project 6486,project 503,request for payment 55856,organizational unit 65460,2683.621722,travel permit 55852,UNKNOWN
